Question_ID,Question,Category,Ground_Truth,Generated_Answer,MRR,F1,Recall@K,Response_Time,Error_Type,Rank,Confidence
0,What is the most common reason for the death of a child?,factual,a disease,United Nations Rights of the Child Convention in 1995,0.0,0.0,0,3.554,Retrieval Error (Source Not Found),N/A,0.0
1,What may be the reason for the term feudal ?,inferential,It replaced beneficium .,school,1.0,0.0,1,2.107,Generation Error (Low Overlap),1,0.0
2,What may be the reason for the unemployment rate being inaccurate ?,inferential,The unemployment rate does not take into account the number of unemployed people .,self-employed,1.0,0.0,1,2.242,Generation Error (Low Overlap),1,0.0
3,Which of the following is true of Wilhelm Röntgen?,comparative,He was a German physicist.,17th century,0.0,0.0,0,2.239,Retrieval Error (Source Not Found),N/A,0.0
4,What was the result of the Russian Empire's wars?,factual,the slaughter of Russian troops and military defeats,"The relevant information to answer the above question is: There was mass European emigration to the Americas , South Africa , Australia and New Zealand in the 19th and 20th centuries , as a result of a dramatic demographic transition in 19th-century Europe , subsequent wars and political changes on the continent .",0.25,0.12244897959183672,1,6.983,Generation Error (Low Overlap),4,0.017532786310400447
5,What is the name of the place where the dead are buried?,factual,the Old Kingdom,The deceased would be buried alive .,1.0,0.2,1,2.601,Success,1,0.0768639508070715
6,Which of the following is true of the variable declarations inside of main ( ) ?,comparative,They are local variables .,The main idea of the passage is that .,1.0,0.15384615384615385,1,2.7,Generation Error (Low Overlap),1,0.05695896106855011
7,What was the first administrator of the UNDP?,factual,Paul G. Hoffman,United Nations Sustainable Development Group,1.0,0.0,1,2.348,Generation Error (Low Overlap),1,0.0
8,What is the likely relationship between the two factors?,inferential,(iv),causality and causality,0.0,0.0,0,3.245,Retrieval Error (Source Not Found),N/A,0.0
9,What was the first objective of the British attack on Loos ?,factual,Breslau Trench,British attack,1.0,0.0,1,2.195,Generation Error (Low Overlap),1,0.0
10,What is the likely relationship between the two speakers?,inferential,(ii).,"The relevant sentence in the passage is: Ethno-linguistic fractionalization is positively correlated with corruption , which in turn is negatively correlated with economic growth while more polarized societies exhibit greater public consumption , lower levels of investment and more frequent civil war.",0.0,0.0,0,5.635,Retrieval Error (Source Not Found),N/A,0.0
11,What may be the reason for the earthquakes?,inferential,The Earthquake was caused by a large tectonic plate .,earthquake are:,1.0,0.16666666666666669,1,2.676,Generation Error (Low Overlap),1,0.06225874735400325
