Question_ID,Question,Category,Ground_Truth,Generated_Answer,MRR,F1,Recall@K,Response_Time,Error_Type,Rank,Confidence
0,What is the term for the process of converting atmospheric hydrogen into methane?,factual,(d).,Sunlight,1.0,0.0,1,0.389,Generation Error (Low Overlap),1,0.0
1,What is the most likely reason that text mining software can be used to build large dossiers of information about specific people and events ?,comparative,Because it can be used to build large dossiers .,Text mining software can be used to build large dossiers of information about specific people and events .,1.0,0.5714285714285714,1,1.269,Success,1,0.44994375703037126
2,Question: Which of the following is true according to the passage?Options:A The Countess Keijsers of Limburg-Stirum is a famous person.B The Countess Keijsers of Limburg-Stirum is a famous person.C The Countess Keijsers of Limburg-Stirum is a famous person.D The Counte,multi-hop,Count Eleonore Keijsers of Limburg-Stirum,"The relevant sentence in the passage is: In 1968 , he married Countess Nadine d'Ursel and they have three children : Countess Eleonore Keijsers of Limburg-Stirum ; born in 1970 . In 1968 , he married Countess Nadine d'Ursel and they have three children : Counte",1.0,0.24242424242424243,1,4.985,Success,1,0.04862098724914609
3,Which of the following is true of the Miasma Theory?,comparative,It is a model of disease in which poor air quality was blamed for illness.,"The relevant sentence in the passage is: The Greek physician Hippocrates , taught by Democritus , was known as the father of medicine , sought a logic to sickness ; he is the first person known to have examined the relationships between the occurrence of disease and environmental influences. Hippocrates believed sickness of the human body to be caused by an imbalance of the four humors ( black bile , yellow bile , blood ,",1.0,0.1791044776119403,1,4.905,Generation Error (Low Overlap),1,0.036507231474101155
4,"Which ship was laid down first , USS Shreveport or USS Shreveport?",comparative,USS Shreveport,The relevant sentence in the passage is: USS Shreveport ( PG-131/PF-23 ) was a Tacoma -class frigate of the United States Navy.,1.0,0.18181818181818182,1,2.201,Generation Error (Low Overlap),1,0.0825695648583932
5,What may be the reason for their bias ?,inferential,They do not have the data to train .,"The author wrote a book , The Black Swan , which focuses on the impact of the highly improbable .",0.0,0.16,0,1.567,Retrieval Error (Source Not Found),N/A,0.10204081632653063
6,What is the earliest time period mentioned ?,inferential,prehistoric Europe,Renaissance,1.0,0.0,1,0.357,Generation Error (Low Overlap),1,0.0
7,Which of the following is true of the root node ?,inferential,The root node is a proof tree .,energy,0.5,0.0,1,0.348,Generation Error (Low Overlap),2,0.0
8,Which of the following is true of the driver ?,comparative,He is a speeding ticket holder .,philosophy of artificial intelligence,0.25,0.0,1,0.485,Generation Error (Low Overlap),4,0.0
9,What is the likely relationship between the author and the author?,inferential,(iii).,a later date the author was a Romantic-era author.,0.0,0.0,0,0.958,Retrieval Error (Source Not Found),N/A,0.0
10,What is the name of the book that Anastasia is based on?,factual,"Albert , Gleb",Russian Revolution,1.0,0.0,1,0.418,Generation Error (Low Overlap),1,0.0
11,Which compound has a narrow therapeutic index ?,comparative,A compound with a narrow therapeutic index .,The drug is a chemical compound that is a component of the active ingredient or active pharmaceutical ingredient .,1.0,0.2857142857142857,1,1.327,Success,1,0.21514629948364888
12,What may be the reason why they were able to develop a supercomputer ?,inferential,They wanted to make it easier to use .,quantum computers,0.3333333333333333,0.0,1,0.39,Generation Error (Low Overlap),3,0.0
13,Which of the following is true of the project?,comparative,It is a project that is written off.,Political science,0.0,0.0,0,0.394,Retrieval Error (Source Not Found),N/A,0.0
14,What is the name of the building that was built in the Middle Kingdom?,factual,pyramid,The relevant information to answer the above question is: Ancient Egyptian art served its political and religious purposes with precision and clarity .,1.0,0.0,1,1.491,Generation Error (Low Overlap),1,0.0
15,Which of the following is true of the parties to the contract ?,comparative,They are both parties to the contract .,Scots contract law,1.0,0.18181818181818182,1,0.543,Generation Error (Low Overlap),1,0.3342245989304813
16,Which of the following is true of NLRC5?,comparative,It is an intracellular protein that plays a role in the immune system,The relevant sentence in the passage is: NLRC5 is an intracellular protein that plays a role in the immune system.,1.0,0.7333333333333334,1,1.625,Success,1,0.4510045100451005
17,What may be the reason for the plan being modified?,inferential,Because it was a strategy that was based on the German right wing,prepared by the change review board,0.0,0.1111111111111111,0,0.659,Retrieval Error (Source Not Found),N/A,0.16835016835016833
18,What may be the reason for the building being rebuilt ?,inferential,It was a church .,cricket matches played in the south-eastern counties,1.0,0.0,1,0.833,Generation Error (Low Overlap),1,0.0
19,What may be the reason why the ships were on the Kattegat?,inferential,They were training for the winter training cruise.,18 months,1.0,0.0,1,0.401,Generation Error (Low Overlap),1,0.0
20,What may be the reason for the decline of Buddhism ?,inferential,Buddhism was a religion .,Ashoka converted to Buddhism,0.3333333333333333,0.22222222222222224,1,0.617,Success,3,0.35958288385472853
21,Which of the following is true of the term patents ?,comparative,The term patents does not begin with inventions .,works,1.0,0.0,1,0.378,Generation Error (Low Overlap),1,0.0
22,Which of the following is true of biotechnology?,comparative,Biotechnology is a scientific discipline.,Biotechnology,0.0,0.33333333333333337,0,0.381,Retrieval Error (Source Not Found),N/A,0.8726003490401397
23,What may be the reason for the fact that the government is a member of the CIA ?,inferential,The government is a member of the CIA .,Truman to believe that the Soviet Union was a spy state .,0.0,0.3,0,1.005,Retrieval Error (Source Not Found),N/A,0.29821073558648115
24,Which country was the Japanese first to capture the naval and air center of Port Moresby?,comparative,Australia,Japanese were defeated on the island and withdrew their troops,0.5,0.0,1,0.903,Generation Error (Low Overlap),2,0.0
25,"Which of the following is true of mass spectrometry : ionization , crystallography , or infrared spectroscopy ?",comparative,"ionization , crystallography , or infrared spectroscopy",The purpose of the text is to describe the physical properties of organic compounds .,1.0,0.0,1,1.052,Generation Error (Low Overlap),1,0.0
26,Which of the following is true of the biography ?,comparative,The biography provides insights and updates as well as a solid background on Morrison 's early life .,"The relevant sentence in the passage is: He steps into the world of literature with the book : Los héroes inutiles ( The Useless Heroes ) ( Ellago Ediciones , 2005 ) , a complete collection of the correspondence that he held with Spanish  damned '' writer Leopoldo Mara Panero , that serves as a literary poetic where the author , following two well-",0.3333333333333333,0.09230769230769231,1,4.998,Generation Error (Low Overlap),3,0.01846523150784003
27,What will happen to the author after he has finished his assignment?,inferential,he will be able to make a decision,The film was directed by Hans Fallada.,0.0,0.0,0,0.859,Retrieval Error (Source Not Found),N/A,0.0
28,What is the legal basis for a contract ?,factual,law,Statute of Frauds ),1.0,0.0,1,0.681,Generation Error (Low Overlap),1,0.0
29,What may be the reason for their desire to see the fight ?,inferential,They want to see the champions .,Crawford threw a KO,1.0,0.0,1,0.674,Generation Error (Low Overlap),1,0.0
30,What is the likely relationship between Guericke and Robert Boyle?,inferential,(iii).,University of Glasgow,1.0,0.0,1,0.454,Generation Error (Low Overlap),1,0.0
